Filename,Wordcount,Hyperlinks,Domains,NER Entities,% Numeric Characters
348_GeoInvesting_AHII_2014_2.p.txt,234,0,0,43,4.61
529_Muddy Waters_1228-HK_2014.p.txt,6575,12,5,396,2.98
302108_Iceberg_1115_2017_1.p.txt,4416,2,2,294,3.52
303603_Richard Pearson_OSUR_2016_1.p.txt,4990,0,0,122,4.03
296_Meson Capital_OMEX_2015_31.p.txt,2515,0,0,107,3.81
90086_Copperfield_CHGG_2016.p.txt,14096,1,1,680,4.57
756_Street Sweeper_MEET_2015.p.txt,1349,0,0,77,3.16
90112_Unemon1_PLUG_2016_1.p.txt,1638,0,0,77,6.69
269_Bronte Capital_VRX_2015_12.p.txt,4677,0,0,209,5.16
301419_Friendly Bear_NTRI_2017_1.p.txt,889,0,0,755,4.13
524_Asensio_CSKI_2009_16.p.txt,729,0,0,70,1.95
91322_Muddy Waters_GSX_2020.p.txt,5908,3,3,84,4.03
123_Asensio_CTE_2011_2.p.txt,665,0,0,117,2.29
90648_Cliffside_EYES_2018.p.txt,10,0,0,0,0.0
277_Asensio_OLED_2013_32.p.txt,574,0,0,97,2.6
788_Whitney Tilson_W_2015_2.p.txt,2437,0,0,113,3.0
307001_WhiteDiamondResearch_RESN_2019_1.p.txt,3872,0,0,114,3.98
85271_GeoInvesting_ACAS_2015.p.txt,30,0,0,6,3.93
163_Alfred Little_CGA_2010_3.p.txt,1079,0,0,65,3.88
90886_Black Stork_STAA _2019.p.txt,5659,0,0,184,16.43
335_Richard Pearson_INO_2014.p.txt,7133,0,0,469,1.65
303203_Prescience_CGI_2017_3.p.txt,6407,0,0,122,3.06
407_Street Sweeper_NOG_2011_2.p.txt,2078,0,0,133,2.96
300001_Alistair Capital_AFSI_2019.p.txt,16546,9,7,680,5.67
124_Alfred_CTE_2011.p.txt,8011,0,0,762,1.99
689_Cable Car Capital_EXAS_2015_8.p.txt,1006,0,0,45,3.53
55_GeoInvesting_LLEN_2013_6.p.txt,2378,0,0,429,4.24
678_Alpha Exposure_KRO_2011.p.txt,878,0,0,106,3.47
91213_Kerrisdale_PRNB_2020.p.txt,15245,0,0,605,3.16
302701_Mithra_VIPS_2015_3.p.txt,316,0,0,123,3.0
752_Suhail Capital_VEEV_2013_3.p.txt,1497,0,0,43,2.09
90931_JCap_UXIN_2019.p.txt,11097,1,1,870,6.97
71_Citron Research_LFT_2011_1.p.txt,2074,0,0,194,2.95
367_GeoInvesting_MJMD_2014.p.txt,554,0,0,14,3.43
269_Bronte Capital_VRX_2015_10.p.txt,841,0,0,72,6.42
524_Asensio_CSKI_2009_14.p.txt,621,0,0,93,1.6
428_Copperfield Research_PCOM_2014.p.txt,1927,0,0,121,1.91
424_Bronte Capital_GPOR_2012_1.p.txt,2377,0,0,272,5.92
91275_Hindenburg_HFFG_2020.p.txt,5541,0,0,364,6.32
304004_Spruce Point Capital_ECHO_2016_2.p.txt,3698,0,0,238,3.26
302201_Kerrisdale_ZFGN_2016_1.p.txt,4659,0,0,151,2.39
40_Muddy Waters_TRE-CA_2011_5.p.txt,8,0,0,0,15.79
302821_Muddy Waters_TAL_2018_3.p.txt,3222,0,0,58,3.76
301425_Friendly Bear_LOCO_2019_1.p.txt,417,0,0,400,3.33
49_Alpha Exposure_PRKR_2014_3.p.txt,687,0,0,52,3.01
402_Alpha Exposure_AFFY_2013_4.p.txt,676,0,0,31,5.51
305503_Fraud Research_ECAU_2013_1.p.txt,212,0,0,210,3.5
322_Whitney Tilson_LRN_2013_1.p.txt,22171,0,0,1019,3.6
100_Richard Pearson_ALNY_2013.p.txt,3621,0,0,193,3.29
201_Bronte Capital_CMEDY_2012.p.txt,1533,0,0,42,3.92
304010_Spruce Point Capital_WIX_2017.p.txt,11103,0,0,313,7.71
90784_Viceroy_NRP_2018_4Appendix.p.txt,36540,0,0,1826,5.34
576_Bleecker Street Research_AAC_2015_4.p.txt,784,0,0,81,3.05
302209_Kerrisdale_VSAT_2017_1.p.txt,23806,0,0,1108,5.22
303201_Prescience_ULTA_2016_1.p.txt,7392,0,0,460,2.92
202_Kerrisdale Capital_CMED_2012_2.p.txt,757,0,0,95,2.26
132_Muddy Waters_FMCN_2011_2.p.txt,3517,2,1,119,2.82
409_Alpha Exposure_ONTY_2011_1.p.txt,4653,0,0,181,3.32
37_Citron Research_EDU_2009.p.txt,911,0,0,102,3.34
79025_Ian Bezek_RPRX_2009.p.txt,19,0,0,4,6.67
302102_Iceberg_Noble_2017_5.p.txt,50,0,0,2,14.33
300203_Anonymous Analytics_8207HK_2016.p.txt,7801,43,10,651,5.45
227_Richard Pearson_STON_2013.p.txt,3363,0,0,135,3.4
281_Alfred Little_FU_2013_1.p.txt,4607,0,0,377,6.09
368_GeoInvesting_WSTI_2014_3.p.txt,3496,0,0,173,5.02
524_Asensio_CSKI_2009_29.p.txt,769,0,0,105,2.6
684_Dupre Analytics_1333-HK_2015.p.txt,19896,0,0,1842,1.99
532_RH Analytics_HCI_2015_14.p.txt,472,0,0,49,3.27
318_Citron Research_UNXL_2013_1.p.txt,2588,2,2,179,3.1
70_Bronte Capital_LFT_2011_2.p.txt,1353,0,0,37,6.15
549_Bleecker Street Research_CTIX_2015_1.p.txt,1900,0,0,175,4.0
491_Kerrisdale Capital_GSAT_2014_3.p.txt,4318,0,0,110,1.5
81665_Citron_SYX_2006.p.txt,1020,0,0,66,3.29
304903_GlassHouseResearch_JCOM_2018_1.p.txt,11810,0,0,303,2.92
149_Whitney Tilson_MBI_2008_1.p.txt,780,0,0,49,3.73
307709_Studioso_HK_2012_1.p.txt,146,0,0,125,7.37
3_Kerrisdale Capital_EZCH_2013_4.p.txt,1489,0,0,61,4.94
304304_Well_3914_2016_1.p.txt,193,0,0,32,1.58
91460_Bonitas_HYLN_2020.p.txt,4061,23,16,244,2.78
90193_Tilson_LL_2016.p.txt,21,0,0,1,8.21
59_Citron Research_QCOR_2012_1.p.txt,756,0,0,48,4.4
90718_John Hempton_CBPOX_2018.p.txt,5461,0,0,620,2.83
289_Whitney Tilson_IOC_2013_2.p.txt,1166,0,0,74,4.36
91087_Culper_ATRC_2019_1.p.txt,7762,1,1,328,5.26
93436_CDM_TSLA_2013.p.txt,24,0,0,6,6.37
91128_Viceroy_ATNX_2019_6.p.txt,2676,12,7,274,2.64
613_Lakewood Capital_TASR_2015.p.txt,677,0,0,72,3.58
91212_Prescience Point_MDLA_2020.p.txt,16107,5,3,593,5.77
90844_Seligman_AXGN_2018.p.txt,31,0,0,1,10.18
90825_Hindenburg_RIOT_2017_4.p.txt,1605,0,0,66,3.61
87_Richard Pearson_IDT_2013_1.p.txt,4274,0,0,273,3.46
92126_Asensio_LDK_2006_11.p.txt,232,0,0,53,1.64
677_Glaucus Research Group_931-HK_2015_2.p.txt,4011,0,0,213,2.25
154_Pershing Square_ABK_2007.p.txt,2894,0,0,216,4.81
307701_Studioso_AIBYY_2013_4.p.txt,142,0,0,73,4.78
90999_Hindenburg_EROS_2017_1.p.txt,2651,0,0,66,3.52
302806_Muddy Waters_STJ_2016_1.p.txt,10618,21,18,387,2.3
478_Alpha Exposure_VHC_2014_3.p.txt,1961,0,0,96,2.51
304801_BatmanResearch_CRCM_2018_1.p.txt,6029,0,0,434,5.13
91212_Prescience Point_MDLA_2020_2.p.txt,3621,0,0,126,6.93
303602_Richard Pearson_OSIR_2016_1.p.txt,1714,0,0,56,2.86
91180_Asensio_PGWC_2006_6.p.txt,637,0,0,123,2.02
91400_Culper_BLNK_2020_2.p.txt,1473,1,1,67,1.96
523_Asensio_AOBI_2009_07.p.txt,1066,0,0,163,1.85
55_GeoInvesting_LLEN_2012_2.p.txt,2614,0,0,244,2.37
394_Xuhua Zhou_YY_2013.p.txt,3999,0,0,104,4.09
131_Matt Berry_FMCN_2012_1.p.txt,1205,0,0,75,4.08
226_Richard Pearson_FRAN_2013.p.txt,6521,0,0,1746,12.17
200_Matt Berry_QIHU_2012_1.p.txt,1660,0,0,145,4.55
512_Gotham Investing_AFSI_2014_3.p.txt,3316,0,0,329,5.39
301423_Friendly Bear_TDOC_2019_3.p.txt,243,0,0,314,3.82
564_Spruce Point Capital_GEF_2015_2.p.txt,1462,0,0,91,2.67
304016_Spruce Point Capital_TOS_2017.p.txt,9520,0,0,513,4.93
30_Citron Research_ISRG_2013_6.p.txt,3015,0,0,83,2.18
67_Spruce Point Capital_ZSTN_2010_2.p.txt,1477,0,0,35,3.29
90705_The Capitolist_TRUP_2018_5.p.txt,23,0,0,0,5.63
363_GeoInvesting_LAS_2014_1.p.txt,4332,0,0,351,3.28
135_Spruce Point Capital_UAMY_2012_2.p.txt,5505,0,0,395,3.56
683_Forensic Research Analyst_CRR_2016_3.p.txt,3071,0,0,115,3.59
90641_The Capitolist_MYGN_2018_2.p.txt,920,0,0,72,4.54
361_Bronte Capital_INSY_2014_2.p.txt,992,0,0,43,2.41
91129_Night Market Research_ZYXI_2019_3.p.txt,29,0,0,1,4.59
733_Citron Research_VRX_2015_4.p.txt,2159,0,0,121,1.62
424_Bronte Capital_GPOR_2013_5.p.txt,519,0,0,15,13.28
298_Whitney Tilson_DDD_2014_2.p.txt,614,0,0,21,2.47
305601_MoxReports_VUZI_2018_1.p.txt,10953,3,1,385,1.27
1067_Alpha Exposure_OSTK_2019.p.txt,11,0,0,0,2.38
301401_Friendly Bear_BOFI_2016_3.p.txt,273,0,0,125,2.93
92126_Asensio_LDK_2006_4.p.txt,224,0,0,44,1.36
341_Lakewood Capital_PLUG_2014.p.txt,687,0,0,100,2.42
7_Whitney Tilson_LL_2015_18.p.txt,1635,0,0,75,1.73
431_Kerrisdale Capital_CHBT_2010_1.p.txt,2670,0,0,249,2.85
709_The Friendly Bear_BOFI_2016_3.p.txt,1990,0,0,98,4.21
787_Citron Research_MNK_2017_1.p.txt,2059,1,1,186,3.04
133_GeoInvesting_JVA_2011.p.txt,639,0,0,25,5.1
302206_Kerrisdale_STRP_2017_1.p.txt,4773,0,0,255,2.97
192_Citron Research_HRBN_2011_3.p.txt,1646,0,0,212,2.38
74_Bronte Capital_UTA_2013_5.p.txt,896,0,0,75,9.53
91295_Prescience Point_MIDD_2020.p.txt,9368,4,4,390,4.75
152_Richard Pearson_BIOL_2013_3.p.txt,2725,0,0,99,1.83
50_Kerrisdale Capital_NOW_2013_4.p.txt,3222,0,0,59,4.11
375_Kerrisdale Capital_FIVE_2014_2.p.txt,5177,0,0,163,3.22
301241_Citron_NVDA_2018.p.txt,1259,1,1,69,2.5
321_Alpha Exposure_EXAS_2013_3.p.txt,2950,0,0,69,3.32
459_Street Sweeper_GORO_2011_2.p.txt,2481,0,0,210,7.8
205_Street Sweeper_BRLI_2011_2.p.txt,3432,0,0,236,4.32
90591_Viceroy_CPI_2018_2.p.txt,1733,0,0,108,1.32
300301_Aurelius_BOFI_2015_4.p.txt,255,0,0,94,2.74
74_Bronte Capital_UTA_2010_4.p.txt,898,1,1,49,2.57
472_Trinity Research Group_VNET_2014_3.p.txt,2255,0,0,260,4.04
277_Asensio_OLED_2013_16.p.txt,546,0,0,81,1.59
90_Citron Research_Z_2015_6.p.txt,1074,0,0,55,2.11
90132_Long Short Value_TWLO_2016.p.txt,8,0,0,0,0.0
612_Street Sweeper_CHOP_2015.p.txt,1886,0,0,144,5.27
809_Street Sweeper_PAYC_2015.p.txt,1319,0,0,85,4.25
284_Kynikos Associates_GMCR_2014.p.txt,1273,0,0,165,5.5
90723_Viceroy_PVG_2018_4.p.txt,3509,3,2,63,5.0
91015_Viceroy_TEUM_2019_4.p.txt,1362,8,7,86,2.96
575_Bronte Capital_DMND_2012.p.txt,837,0,0,51,6.44
489_GeoInvesting_CGA_2014_1.p.txt,3970,0,0,475,6.52
277_Asensio_OLED_2013_5.p.txt,871,0,0,104,1.82
304_Greenwich Research Group_VIPS_2013.p.txt,5594,0,0,258,5.75
508_Muddy Waters_T4B-SG_2014.p.txt,885,0,0,57,5.5
82_GeoInvesting_SBAY_2011.p.txt,236,0,0,13,2.94
307701_Studioso_AIBYY_2011_1.p.txt,74,0,0,27,5.69
174_Pershing Square_HLF_2012.p.txt,25622,1,1,1791,4.96
638_Cable Car Capital_PLUS-GB_2015_11.p.txt,2709,1,1,54,4.34
91133_Mako_SSTI_2019.p.txt,8,0,0,0,6.35
59_Citron Research_QCOR_2013_5.p.txt,1533,0,0,92,0.96
300808_Bonitas Research_CGN_2019.p.txt,9508,9,9,675,4.08
90773_Spruce Point_IRBT_2018.p.txt,11606,0,0,431,5.43
32_Alfred Little_RINO_2010.p.txt,690,0,0,88,3.88
91359_Hindenburg_JCOM_2020.p.txt,9564,1,1,599,6.96
81388_Citron_APOL_2009_2.p.txt,34,0,0,10,4.03
491_Kerrisdale Capital_GSAT_2015_7.p.txt,744,0,0,137,2.47
300323_Aurelius_MDXG_2017_1.p.txt,2913,0,0,206,3.66
296_Meson Capital_OMEX_2014_17.p.txt,3366,0,0,385,2.09
524_Asensio_CSKI_2009_30.p.txt,497,0,0,99,2.74
301205_Citron_7779TYO_2016_4.p.txt,670,0,0,33,2.88
687_Discount Investing_3333-HK_2015.p.txt,6973,0,0,97,1.52
292_Muddy Waters_NQ_2014_7.p.txt,3143,4,4,102,1.23
92422_Chimin Sang_CCME_2011_2.p.txt,30,0,0,6,4.12
413_Bronte Capital_336-HK_2011_1.p.txt,1946,0,0,121,6.24
300404_Blazing Research_1625HK_2017.p.txt,6704,0,0,817,3.67
452_Bronte Capital_CFR-CH_2012_1.p.txt,1822,0,0,102,7.05
90019_Cliffside_NAII_2016.p.txt,13,0,0,0,0.0
304112_Street Sweeper_BRKO_2016_1.p.txt,158,0,0,63,4.39
384_Pump Stopper_ETAK_2014.p.txt,2744,0,0,152,5.25
90060_Muddy Waters_TPC_2016.p.txt,986,0,0,32,10.4
429_Kerrisdale Capital_CMFO_2010_3.p.txt,2004,0,0,342,2.23
196_Citron Research_QIHU_2011_3.p.txt,255,0,0,28,1.98
90741_Art Doyle_ADAP_2017.p.txt,2424,0,0,64,1.22
305102_FuzzyPandaResearch_BDSI_2019.p.txt,11386,0,0,648,4.36
307208_Jay Yoon_TSEM_2015_1.p.txt,297,0,0,196,3.33
91180_Asensio_PGWC_2006_11.p.txt,700,0,0,138,1.89
161_Copperfield Research_TNGO_2012.p.txt,1622,0,0,59,2.17
307702_Studioso_YRCW_2011_1.p.txt,119,0,0,41,7.71
90104_FFJ_CNI_2016.p.txt,1859,0,0,173,2.15
457_GeoInvesting_XXII_2014_3.p.txt,3371,0,0,61,2.63
90239_Agloe Capital_MNK_2017.p.txt,16,0,0,6,9.73
178_Kerrisdale Capital_ZQK_2014.p.txt,347,0,0,56,2.3
465_Street Sweeper_CIGX_2011_1.p.txt,2478,0,0,109,4.42
336_Citron Research_VJET_2013.p.txt,1232,0,0,35,3.83
540_Street Sweeper_FRPT_2014.p.txt,1281,0,0,86,3.27
200_Matt Berry_QIHU_2012_5.p.txt,1792,0,0,156,8.59
512_Gotham Investing_AFSI_2014_7.p.txt,2735,0,0,280,4.45
629_Pump Stopper_DSKY_2015.p.txt,5019,0,0,258,3.52
573_Bronte Capital_TSL_2011_3.p.txt,804,0,0,67,2.76
74_Bronte Capital_UTA_2010_14.p.txt,155,0,0,15,2.65
30_Citron Research_ISRG_2013_2.p.txt,210,0,0,17,4.92
