Filename,Wordcount,Hyperlinks,Domains,Unique NER Entities,Total NER Entities,$ NER,% NER,% Numeric Characters,Financial Terms,SEC Terms
98_Richard Pearson_PCRX_2013_1.p.txt,4516,60,12,126,422,82,22,3.23,38,2
300604_Blue Orca_PDD_2018.p.txt,19953,91,25,256,1264,35,136,4.05,206,44
573_Bronte Capital_TSL_2011_5.p.txt,1470,70,10,53,126,4,12,5.34,5,0
74_Bronte Capital_UTA_2010_12.p.txt,972,26,7,50,84,10,0,4.51,14,1
302102_Iceberg_Noble_2018_8.p.txt,134,1,1,18,40,0,0,14.18,0,0
97_Richard Pearson_TSRO_2013.p.txt,2501,20,4,74,162,27,7,2.07,20,0
305505_Fraud Research_VEND_2014_1.p.txt,616,43,16,119,300,33,20,4.31,11,0
307501_FourWorldCapital_OMER_2019_1.p.txt,32908,10,10,571,4757,1673,244,5.34,274,2
307102_JCAP_BGNE_2019_2.p.txt,3231,21,7,107,339,14,4,2.79,53,5
15_Kynikos Associates_FMG-AU_2012.p.txt,2536,0,0,184,382,15,45,3.93,31,3
911109_Spruce Point_PINC_2019.p.txt,11246,13,9,556,1853,244,281,5.49,130,11
30_Citron Research_ISRG_2013_4.p.txt,3447,5,2,77,215,3,0,1.28,8,1
90705_The Capitolist_TRUP_2018_7.p.txt,1477,22,5,83,261,8,72,2.93,18,0
300801_Bonitas Research_2200HK_2018.p.txt,14703,79,19,413,1680,8,162,4.44,100,33
39_Greenlight Capital_X_2012.p.txt,2051,39,10,154,288,17,21,4.52,11,0
457_GeoInvesting_XXII_2014_5.p.txt,604,26,2,16,37,0,0,2.14,2,2
458_Asensio_NFLX_2010.p.txt,584,38,5,37,67,0,0,2.55,1,0
200_Matt Berry_QIHU_2012_3.p.txt,1212,43,18,258,845,1,267,9.55,14,1
512_Gotham Investing_AFSI_2014_1.p.txt,791,8,2,37,103,2,1,2.51,9,9
25_Glaucus Research Group_2233-HK_2012.p.txt,19100,71,40,464,1861,91,247,3.93,111,31
296_Meson Capital_OMEX_2015_28.p.txt,2353,28,8,115,287,12,0,3.96,13,4
526_Street Sweeper_URRE_2014.p.txt,1147,20,9,59,143,26,20,5.28,11,2
131_Matt Berry_FMCN_2012_3.p.txt,780,14,7,51,109,4,8,6.33,9,5
301304_Forensic Research Analyst_EROS_2016_1.p.txt,323,6,2,18,32,0,0,2.64,6,0
533_Street Sweeper_RDCM_2014_2.p.txt,1181,32,7,76,136,25,14,5.11,13,0
91421_Hindenburg_NKLA_2020_2.p.txt,18011,244,138,535,2077,57,182,3.85,140,5
121_Bronte Capital_CCME_2010_1.p.txt,2824,109,6,89,270,17,9,4.66,14,0
12051_Chimin Sang_IL_2010.p.txt,2373,33,7,140,438,46,98,3.94,34,4
91180_Asensio_PGWC_2006_4.p.txt,1041,26,2,29,50,2,0,1.61,1,0
91228_Spruce Point_DBX_2020.p.txt,15073,72,34,754,1965,322,179,4.3,274,17
523_Asensio_AOBI_2009_05.p.txt,1232,39,5,58,117,4,0,2.01,6,3
90550_Viceroy_SNH_2017_1.p.txt,16254,95,28,395,2169,0,82,3.82,129,26
689_Cable Car Capital_EXAS_2017_11.p.txt,268,1,1,10,12,0,0,1.43,0,0
301401_Friendly Bear_BOFI_2016_1.p.txt,2493,38,11,61,142,0,2,3.72,24,3
92126_Asensio_LDK_2006_6.p.txt,858,25,2,55,91,0,1,0.78,5,0
431_Kerrisdale Capital_CHBT_2010_3.p.txt,1419,30,11,41,96,11,3,4.39,31,5
328_GeoInvesting_PCYG_2014.p.txt,11309,325,26,259,861,99,28,3.1,100,15
632_Street Sweeper_CDTI_2015.p.txt,2126,25,9,111,223,31,4,3.19,37,8
91141_EFT Research_WILL_2019.p.txt,2760,0,0,425,1199,76,126,3.9,0,0
587_Street Sweeper_CRMD_2015.p.txt,2330,66,22,177,304,30,22,4.33,10,1
90391_Art Doyle_LJPC_2017.p.txt,6629,16,9,78,215,4,4,1.5,24,4
787_Citron Research_MNK_2017_3.p.txt,1526,26,9,61,135,5,3,1.9,6,0
91129_Night Market Research_ZYXI_2019_1.p.txt,4040,67,19,154,438,31,103,4.46,68,2
304122_Street Sweeper_CANF_2018_1.p.txt,1737,33,8,89,277,47,7,6.65,15,0
277_Asensio_OLED_2013_29.p.txt,1379,44,6,64,129,2,0,2.09,8,0
300_Richard Pearson_TSL_2013.p.txt,8231,75,11,251,1022,240,42,4.75,73,3
498_Street Sweeper_AXDX_2014.p.txt,4552,121,19,197,496,64,19,5.99,34,1
91250_Night Market Research_KERN_2020.p.txt,2840,46,16,162,489,34,105,3.55,40,2
436_Street Sweeper_SYMX_2014.p.txt,2437,44,16,87,208,37,4,5.97,26,5
169_GeoInvesting_KNDI_2012_2.p.txt,5381,41,13,149,744,4,4,3.18,23,9
105_Richard Pearson_ZIOP_2013_2.p.txt,2638,21,3,38,124,17,8,2.21,19,0
77114_Citron_WRLD_2009_1.p.txt,2121,20,8,102,241,15,38,2.83,26,0
90976_Philadelphia_PLUS_2018.p.txt,4643,8,1,230,579,38,87,6.18,56,0
303613_Richard Pearson_SSTI_2017_1.p.txt,9728,167,42,267,840,31,61,4.37,42,1
532_RH Analytics_HCI_2015_16.p.txt,780,7,1,22,65,2,2,2.42,9,0
58_Street Sweeper_QCOR_2012_1.p.txt,4814,228,43,165,381,23,9,4.89,13,1
238_Forensic Accounter_MILL_2013_2.p.txt,1448,18,6,52,139,10,5,4.81,15,1
281_Alfred Little_FU_2013_3.p.txt,925,16,7,29,79,0,0,5.31,7,0
50_Kerrisdale Capital_NOW_2012_2.p.txt,6684,99,36,196,578,54,70,3.49,88,2
368_GeoInvesting_WSTI_2014_1.p.txt,4380,65,10,252,690,44,14,5.03,73,20
91340_OSS Research_TCMD_2020_2.p.txt,6661,100,14,222,677,10,124,4.79,128,3
559_Emerson Analytics_967-HK_2015.p.txt,18737,41,16,357,1527,3,87,5.58,118,35
305401_ViceroyResearch_EBIX_2018_1.p.txt,14437,35,9,245,1095,18,14,5.09,92,53
242_Glaucus Research Group_1259-HK_2013.p.txt,14059,42,14,473,2414,2,165,4.6,76,25
302102_Iceberg_Noble_2017_7.p.txt,128,1,1,24,46,0,0,15.84,0,0
760_Glaucus Research Group_2010-HK_2015_1.p.txt,18469,58,18,358,1634,30,163,4.27,99,51
243_Gravity Research Group_MONT_2014.p.txt,7096,71,19,239,1190,5,40,4.88,64,27
289_Whitney Tilson_IOC_2010_1.p.txt,2652,123,11,202,893,36,271,12.54,21,7
301237_Citron_INGN_2018_1.p.txt,2050,8,4,67,122,27,3,2.56,15,0
304307_Well_6273_2016_2.p.txt,2098,0,0,78,154,3,8,1.83,5,1
478_Alpha Exposure_VHC_2014_1.p.txt,1686,11,3,55,165,36,11,2.78,22,2
447_Whitney Tilson_NFLX_2011_3.p.txt,2028,10,3,86,217,15,35,2.67,18,0
90599_Viceroy_NDRM_2017_1.p.txt,6421,24,14,92,227,12,17,2.59,54,0
45_Kynikos Associates_1288-HK_2011.p.txt,2147,0,0,162,297,23,33,3.41,33,2
715_Xuhua Zhou_W_2015.p.txt,2099,21,4,45,98,6,10,3.41,26,0
92126_Asensio_LDK_2006_13.p.txt,696,23,2,43,73,9,0,2.16,0,0
90263_RealTalk_BNFT_2016.p.txt,4704,58,10,189,670,117,167,4.65,133,9
90705_The Capitolist_TRUP_2018_19.p.txt,2938,69,4,98,711,22,286,3.38,25,8
90054_Cliffside_TZOO_2016.p.txt,10570,75,24,297,1106,64,218,2.71,130,13
91128_Viceroy_ATNX_2019_4.p.txt,3367,12,3,113,247,21,8,1.47,42,1
11_Absaroka Capital_LIWA_2011.p.txt,10997,35,9,549,1734,155,62,5.21,97,17
90101_Cliffside_CLSD_2016_1.p.txt,6197,49,27,230,630,47,111,3.2,61,1
90074_Cliffside_STS_2016.p.txt,4892,39,16,214,671,63,137,4.7,68,7
516_Citron Research_GPRO_2014.p.txt,1907,15,7,77,163,41,3,3.87,11,0
491_Kerrisdale Capital_GSAT_2014_1.p.txt,35200,191,85,655,1947,313,114,3.37,183,5
91090_Asensio_CROX_2006_2.p.txt,722,23,2,23,43,1,0,1.0,1,0
91458_Grizzly_CELH_2020.p.txt,17023,44,20,382,1493,51,44,2.55,236,4
59_Citron Research_QCOR_2012_3.p.txt,1626,29,11,80,250,0,64,3.26,3,0
91138_Spruce Point_HRC_2019.p.txt,26207,107,25,978,3752,470,471,5.21,573,19
448_Bleecker Street Research_JRJC_2014_1.p.txt,1758,22,11,95,258,4,8,3.29,16,5
302701_Mithra_VIPS_2015_1.p.txt,15622,146,19,376,1272,156,86,4.11,237,84
486_Matt Berry_RELV_2013_2.p.txt,502,14,5,45,120,0,0,7.08,7,0
180_Infitialis_GWPH_2014.p.txt,3888,47,15,174,454,26,18,4.47,76,2
752_Suhail Capital_VEEV_2013_1.p.txt,17837,174,24,328,1416,234,127,2.88,258,20
300105_Alpha Exposure_AKAO_2017.p.txt,4016,48,11,99,403,18,129,3.67,47,4
164_Kynikos Associates_MHP_2011.p.txt,2452,56,14,254,694,14,131,4.48,4,0
90823_Hindenburg_OPK_2017.p.txt,8197,136,34,251,654,68,14,5.19,55,20
90850_FFJ_MGYN_2019.p.txt,2054,35,19,135,290,33,6,4.87,12,1
327_Gotham City Research_TTS_2013.p.txt,12426,21,15,535,2114,303,98,5.74,149,32
84607_Citron_EMKR_2008_2.p.txt,1433,16,3,74,244,4,57,2.02,20,0
44_Pershing_AGM_2002.p.txt,28058,1,1,572,3143,271,249,2.28,310,47
399_Alpha Exposure_LEE_2013.p.txt,1189,19,3,51,103,9,8,4.31,16,0
55_GeoInvesting_LLEN_2013_4.p.txt,6433,100,16,255,1570,30,33,5.55,59,14
303203_Prescience_CGI_2017_1.p.txt,15721,52,12,383,1247,294,69,3.53,158,31
302204_Kerrisdale_DISH_2016_1.p.txt,20962,0,0,369,1417,230,135,3.79,133,1
85925_Shareholder Watchdog_RBA_2010.p.txt,1978,25,4,97,486,37,131,3.53,33,0
304022_Spruce Point Capital_MATW_2018.p.txt,10690,90,38,963,2688,547,343,9.44,192,28
304119_Street Sweeper_FENX_2017_1.p.txt,533,15,5,19,44,0,0,4.54,9,0
128_Kerrisdale Capital_CEU_2010.p.txt,3169,58,13,104,346,36,13,3.63,51,17
277_Asensio_OLED_2013_30.p.txt,1050,44,8,54,100,0,0,2.4,3,2
532_RH Analytics_HCI_2014_8.p.txt,789,6,2,15,42,0,0,2.32,5,2
609_Hayman Capital Management_BIIB_2015.p.txt,17391,6,3,246,945,0,13,5.22,249,4
304042_Spruce Point Capital_DXCM_2019.p.txt,29579,77,40,973,5185,731,658,6.78,279,12
90425_The Capitolist_OPK_2017.p.txt,2225,17,4,108,300,27,46,2.63,26,3
163_Alfred Little_CGA_2010_1.p.txt,858,10,3,61,109,16,4,4.51,15,3
301602_Glaucus Research_TYO_8001_2016_2.p.txt,3670,19,9,79,265,4,12,2.0,48,3
454_Bronte Capital_XPP-GB_2012.p.txt,2181,113,11,69,230,2,15,6.79,9,1
657_Shareholder Watchdog_HMPR_2011.p.txt,2767,24,4,173,484,71,48,3.88,24,1
532_RH Analytics_HCI_2016_19.p.txt,959,7,1,57,122,5,18,4.11,16,1
90092_GlassHouse_TPC_2016.p.txt,3783,3,2,133,354,58,8,3.59,39,7
322_Whitney Tilson_LRN_2013_3.p.txt,1570,9,3,39,68,0,5,2.2,10,1
204_Anonymous Analytics_QIHU_2012.p.txt,6806,19,9,118,353,21,25,2.18,54,3
302821_Muddy Waters_TAL_2018_1.p.txt,2474,6,5,75,209,31,28,3.77,46,1
90361_Citron_AMEDL_2008.p.txt,1550,15,8,41,156,2,43,2.06,12,0
698_Spruce Point Capital_CSTE_2015_2.p.txt,13480,59,24,662,2172,267,120,4.58,147,32
752_Suhail Capital_VEEV_2014_14.p.txt,8842,43,5,187,509,68,42,1.59,99,1
744_Street Sweeper_WIFI_2015.p.txt,2657,50,15,84,195,33,2,4.1,31,2
424_Bronte Capital_GPOR_2012_3.p.txt,2508,70,8,97,323,4,10,6.01,23,6
348_GeoInvesting_AHII_2014_2.p.txt,310,11,4,32,67,0,2,4.61,8,0
529_Muddy Waters_1228-HK_2014.p.txt,8838,17,6,244,759,75,27,2.98,56,0
302108_Iceberg_1115_2017_1.p.txt,5883,13,13,215,460,4,52,3.52,53,4
303603_Richard Pearson_OSUR_2016_1.p.txt,6349,108,22,158,599,135,70,4.03,23,6
296_Meson Capital_OMEX_2015_31.p.txt,2988,25,6,119,339,40,10,3.81,29,5
90086_Copperfield_CHGG_2016.p.txt,16514,29,21,451,1664,210,218,4.57,405,19
756_Street Sweeper_MEET_2015.p.txt,1796,57,21,109,151,6,19,3.16,8,0
90112_Unemon1_PLUG_2016_1.p.txt,1984,34,10,109,304,14,39,6.69,40,2
269_Bronte Capital_VRX_2015_12.p.txt,6036,189,29,202,626,43,44,5.16,43,2
301419_Friendly Bear_NTRI_2017_1.p.txt,12279,150,34,141,906,2,27,4.13,107,3
524_Asensio_CSKI_2009_16.p.txt,1176,43,5,50,117,0,0,1.95,3,0
91322_Muddy Waters_GSX_2020.p.txt,6915,7,4,215,589,10,155,4.03,39,0
123_Asensio_CTE_2011_2.p.txt,1097,45,5,83,142,1,0,2.29,9,1
90648_Cliffside_EYES_2018.p.txt,9804,105,36,262,986,52,166,4.24,81,6
277_Asensio_OLED_2013_32.p.txt,892,37,4,49,107,0,0,2.6,1,0
788_Whitney Tilson_W_2015_2.p.txt,2872,37,6,66,132,16,1,3.0,23,0
307001_WhiteDiamondResearch_RESN_2019_1.p.txt,4658,72,20,152,359,53,9,3.98,37,2
85271_GeoInvesting_ACAS_2015.p.txt,6220,54,11,194,1059,83,89,3.7,61,13
163_Alfred Little_CGA_2010_3.p.txt,1240,11,5,68,143,9,5,3.88,14,6
90886_Black Stork_STAA _2019.p.txt,8217,81,9,232,1301,21,410,16.43,81,19
335_Richard Pearson_INO_2014.p.txt,8297,71,9,161,589,30,11,1.65,91,2
303203_Prescience_CGI_2017_3.p.txt,7256,41,8,150,475,66,21,3.06,63,10
407_Street Sweeper_NOG_2011_2.p.txt,2422,42,12,89,221,17,6,2.96,16,7
300001_Alistair Capital_AFSI_2019.p.txt,20627,26,9,704,2769,716,132,5.67,136,35
124_Alfred_CTE_2011.p.txt,9208,26,9,280,1151,75,27,1.99,95,18
689_Cable Car Capital_EXAS_2015_8.p.txt,1496,110,5,63,153,0,0,3.53,12,0
55_GeoInvesting_LLEN_2013_6.p.txt,2816,27,5,132,626,13,29,4.24,42,13
678_Alpha Exposure_KRO_2011.p.txt,991,8,3,67,186,38,6,3.47,20,1
91213_Kerrisdale_PRNB_2020.p.txt,17221,67,37,309,993,29,64,3.16,113,1
302701_Mithra_VIPS_2015_3.p.txt,4168,34,3,108,253,22,15,3.0,88,6
752_Suhail Capital_VEEV_2013_3.p.txt,1683,10,3,54,95,4,11,2.09,17,0
90931_JCap_UXIN_2019.p.txt,13547,82,22,337,1894,115,97,6.97,126,12
71_Citron Research_LFT_2011_1.p.txt,2735,24,8,149,514,3,111,2.95,18,4
367_GeoInvesting_MJMD_2014.p.txt,647,5,1,22,35,8,1,3.43,16,0
269_Bronte Capital_VRX_2015_10.p.txt,1107,37,10,76,147,12,5,6.42,9,2
524_Asensio_CSKI_2009_14.p.txt,1032,41,4,60,116,3,0,1.6,1,1
428_Copperfield Research_PCOM_2014.p.txt,2254,12,2,66,182,7,23,1.91,68,0
424_Bronte Capital_GPOR_2012_1.p.txt,3244,111,9,186,645,30,14,5.92,21,2
91275_Hindenburg_HFFG_2020.p.txt,6713,132,39,239,833,85,36,6.32,52,10
304004_Spruce Point Capital_ECHO_2016_2.p.txt,4521,22,16,272,589,83,47,3.26,77,7
302201_Kerrisdale_ZFGN_2016_1.p.txt,5709,0,0,120,310,12,56,2.39,46,0
40_Muddy Waters_TRE-CA_2011_5.p.txt,13,0,0,4,4,0,0,15.79,0,0
302821_Muddy Waters_TAL_2018_3.p.txt,3605,0,0,65,187,7,45,3.76,63,0
301425_Friendly Bear_LOCO_2019_1.p.txt,5200,56,18,111,533,17,11,3.33,41,8
49_Alpha Exposure_PRKR_2014_3.p.txt,806,8,2,31,136,21,1,3.01,7,0
402_Alpha Exposure_AFFY_2013_4.p.txt,791,20,8,26,57,5,2,5.51,7,0
305503_Fraud Research_ECAU_2013_1.p.txt,700,30,10,130,347,62,12,3.5,11,0
322_Whitney Tilson_LRN_2013_1.p.txt,28668,6,4,641,2026,146,161,3.6,138,2
100_Richard Pearson_ALNY_2013.p.txt,4242,36,10,116,470,110,24,3.29,47,0
201_Bronte Capital_CMEDY_2012.p.txt,2094,70,10,63,146,17,0,3.92,19,1
304010_Spruce Point Capital_WIX_2017.p.txt,15484,146,56,873,2545,504,374,7.71,237,28
90784_Viceroy_NRP_2018_4Appendix.p.txt,47575,0,0,841,3944,17,284,5.34,662,51
576_Bleecker Street Research_AAC_2015_4.p.txt,936,12,4,40,112,0,0,3.05,4,0
302209_Kerrisdale_VSAT_2017_1.p.txt,28381,0,0,735,3562,608,313,5.22,297,2
303201_Prescience_ULTA_2016_1.p.txt,9438,16,8,315,947,25,79,2.92,96,22
202_Kerrisdale Capital_CMED_2012_2.p.txt,877,9,2,58,117,4,1,2.26,8,1
132_Muddy Waters_FMCN_2011_2.p.txt,4770,2,1,100,242,52,6,2.82,14,11
409_Alpha Exposure_ONTY_2011_1.p.txt,5251,33,6,111,333,34,28,3.32,49,1
37_Citron Research_EDU_2009.p.txt,1224,12,5,64,217,9,54,3.34,8,3
79025_Ian Bezek_RPRX_2009.p.txt,1374,15,2,86,236,3,62,1.99,13,1
302102_Iceberg_Noble_2017_5.p.txt,138,1,1,20,42,0,0,14.33,0,0
300203_Anonymous Analytics_8207HK_2016.p.txt,9626,110,15,178,946,29,61,5.45,56,23
227_Richard Pearson_STON_2013.p.txt,4011,38,11,88,315,53,34,3.4,47,2
281_Alfred Little_FU_2013_1.p.txt,5716,101,18,147,468,7,5,6.09,76,5
368_GeoInvesting_WSTI_2014_3.p.txt,4551,130,7,139,433,45,2,5.02,50,21
524_Asensio_CSKI_2009_29.p.txt,1239,44,5,82,159,0,7,2.6,7,2
684_Dupre Analytics_1333-HK_2015.p.txt,54538,2,2,498,2327,340,58,1.99,0,0
532_RH Analytics_HCI_2015_14.p.txt,568,5,1,28,68,4,4,3.27,9,2
318_Citron Research_UNXL_2013_1.p.txt,3132,34,13,148,387,25,20,3.1,21,1
70_Bronte Capital_LFT_2011_2.p.txt,1884,75,12,73,177,23,6,6.15,24,0
549_Bleecker Street Research_CTIX_2015_1.p.txt,2248,29,10,111,278,28,6,4.0,6,8
491_Kerrisdale Capital_GSAT_2014_3.p.txt,5531,30,17,59,122,1,4,1.5,40,2
81665_Citron_SYX_2006.p.txt,1300,18,6,104,241,11,47,3.29,17,1
304903_GlassHouseResearch_JCOM_2018_1.p.txt,15177,2,1,364,977,133,135,2.92,236,6
149_Whitney Tilson_MBI_2008_1.p.txt,896,6,2,57,136,50,2,3.73,7,1
307709_Studioso_HK_2012_1.p.txt,446,14,2,56,241,47,0,7.37,24,6
3_Kerrisdale Capital_EZCH_2013_4.p.txt,1749,28,10,92,157,6,11,4.94,33,0
304304_Well_3914_2016_1.p.txt,392,0,0,55,79,0,3,1.58,0,0
91460_Bonitas_HYLN_2020.p.txt,5452,63,20,149,526,15,33,2.78,69,1
90193_Tilson_LL_2016.p.txt,4764,42,10,152,416,41,77,2.48,61,1
59_Citron Research_QCOR_2012_1.p.txt,967,10,4,47,263,0,105,4.4,4,0
90718_John Hempton_CBPOX_2018.p.txt,6457,33,17,300,944,55,39,2.83,35,13
289_Whitney Tilson_IOC_2013_2.p.txt,1377,26,10,68,175,33,15,4.36,13,2
91087_Culper_ATRC_2019_1.p.txt,8890,53,41,336,1023,156,69,5.26,87,2
93436_CDM_TSLA_2013.p.txt,2368,26,6,113,368,18,71,5.16,34,0
91128_Viceroy_ATNX_2019_6.p.txt,3455,28,9,146,338,5,7,2.64,39,0
613_Lakewood Capital_TASR_2015.p.txt,926,27,11,73,190,7,37,3.58,8,0
91212_Prescience Point_MDLA_2020.p.txt,20696,188,14,762,2650,331,458,5.77,368,46
90844_Seligman_AXGN_2018.p.txt,4772,32,3,155,507,57,113,3.06,47,3
90825_Hindenburg_RIOT_2017_4.p.txt,2323,45,17,94,187,11,28,3.61,28,5
87_Richard Pearson_IDT_2013_1.p.txt,4976,44,9,149,564,94,54,3.46,32,0
92126_Asensio_LDK_2006_11.p.txt,559,24,2,26,59,0,0,1.64,0,0
677_Glaucus Research Group_931-HK_2015_2.p.txt,4817,4,2,76,306,2,11,2.25,62,1
154_Pershing Square_ABK_2007.p.txt,4573,0,0,305,716,97,78,4.81,80,2
307701_Studioso_AIBYY_2013_4.p.txt,392,20,4,59,141,7,6,4.78,5,0
90999_Hindenburg_EROS_2017_1.p.txt,3619,52,16,124,303,59,25,3.52,30,5
302806_Muddy Waters_STJ_2016_1.p.txt,11848,33,26,277,875,67,62,2.3,67,0
478_Alpha Exposure_VHC_2014_3.p.txt,2181,12,3,68,184,54,8,2.51,19,7
304801_BatmanResearch_CRCM_2018_1.p.txt,8248,134,55,293,732,100,27,5.13,77,2
91212_Prescience Point_MDLA_2020_2.p.txt,4546,34,6,318,812,86,213,6.93,77,6
303602_Richard Pearson_OSIR_2016_1.p.txt,2274,63,16,72,147,16,6,2.86,9,2
91180_Asensio_PGWC_2006_6.p.txt,1123,24,2,90,165,10,3,2.02,5,1
91400_Culper_BLNK_2020_2.p.txt,1642,7,7,48,119,2,5,1.96,35,3
523_Asensio_AOBI_2009_07.p.txt,1642,44,6,93,194,4,0,1.85,5,6
55_GeoInvesting_LLEN_2012_2.p.txt,3459,91,2,90,311,3,4,2.37,13,2
394_Xuhua Zhou_YY_2013.p.txt,4679,69,25,102,253,17,39,4.09,72,1
131_Matt Berry_FMCN_2012_1.p.txt,1402,20,8,51,109,3,0,4.08,14,1
226_Richard Pearson_FRAN_2013.p.txt,12639,75,4,127,1748,20,41,12.17,69,0
200_Matt Berry_QIHU_2012_1.p.txt,1965,21,9,102,269,1,33,4.55,23,5
512_Gotham Investing_AFSI_2014_3.p.txt,3996,65,13,165,595,84,31,5.39,56,12
301423_Friendly Bear_TDOC_2019_3.p.txt,4151,54,20,114,508,0,10,3.82,29,14
564_Spruce Point Capital_GEF_2015_2.p.txt,1687,13,4,61,193,10,10,2.67,39,1
304016_Spruce Point Capital_TOS_2017.p.txt,12292,103,31,710,2122,352,142,4.93,125,14
30_Citron Research_ISRG_2013_6.p.txt,3612,16,10,85,193,3,11,2.18,27,3
67_Spruce Point Capital_ZSTN_2010_2.p.txt,1714,11,3,63,167,26,7,3.29,16,3
90705_The Capitolist_TRUP_2018_5.p.txt,2042,28,7,74,258,6,75,2.8,21,0
363_GeoInvesting_LAS_2014_1.p.txt,6532,175,7,169,569,20,32,3.28,57,9
135_Spruce Point Capital_UAMY_2012_2.p.txt,6290,53,14,240,793,112,51,3.56,85,3
683_Forensic Research Analyst_CRR_2016_3.p.txt,3535,22,3,115,350,38,24,3.59,44,3
90641_The Capitolist_MYGN_2018_2.p.txt,1109,17,7,57,151,7,29,4.54,16,0
361_Bronte Capital_INSY_2014_2.p.txt,1250,23,5,65,96,0,1,2.41,5,6
91129_Night Market Research_ZYXI_2019_3.p.txt,4399,63,16,154,502,34,112,5.02,96,2
733_Citron Research_VRX_2015_4.p.txt,2559,15,9,61,176,8,3,1.62,14,0
424_Bronte Capital_GPOR_2013_5.p.txt,919,25,6,42,77,15,0,13.28,8,0
298_Whitney Tilson_DDD_2014_2.p.txt,716,7,3,22,40,1,0,2.47,7,0
